timestamp,price
2023/4/3 01:00:00,28178.70
2023/4/3 07:00:00,28161.20
2023/4/3 16:00:00,28326.30
2023/4/4 02:00:00,28141.00
2023/4/4 17:00:00,28181.20
2023/4/5 01:00:00,28215.60
2023/4/5 03:00:00,28171.10
2023/4/6 03:00:00,28229.10
2023/4/6 11:00:00,28117.40
2023/4/8 13:00:00,28132.00
2023/4/10 03:00:00,28132.40
2023/4/10 05:00:00,28423.20
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 00:00:00,29033.10
2023/4/11 02:00:00,29264.80
2023/4/11 05:00:00,29212.90
2023/4/11 08:00:00,29920.60
2023/4/11 08:00:00,29920.60
2023/4/13 22:00:00,30428.30
2023/4/14 01:00:00,30419.90
2023/4/14 07:00:00,30362.70
2023/4/15 04:00:00,30429.90
2023/4/15 22:00:00,30352.20
2023/4/16 06:00:00,30334.00
2023/4/16 15:00:00,30330.80
2023/4/17 00:00:00,30334.90
2023/4/17 02:00:00,30487.10
2023/4/17 04:00:00,30334.40
2023/4/18 19:00:00,30369.70
2023/4/18 21:00:00,30362.40
2023/4/19 04:00:00,30416.60
2023/4/19 18:00:00,29240.00
2023/4/21 04:00:00,28192.60
2023/4/21 15:00:00,28142.30
2023/4/21 20:00:00,28206.70
2023/4/26 05:00:00,28249.30
2023/4/26 17:00:00,28849.50
2023/4/26 17:00:00,28849.50
2023/4/26 17:00:00,28849.50
2023/4/26 17:00:00,28849.50
2023/4/26 20:00:00,29955.00
2023/4/26 20:00:00,29955.00
2023/4/27 04:00:00,28405.30
2023/4/27 08:00:00,29215.10
2023/4/27 08:00:00,29215.10
2023/4/28 01:00:00,29282.60
2023/4/28 18:00:00,29249.00
2023/4/29 00:00:00,29259.60
2023/4/30 03:00:00,29222.00
2023/4/30 07:00:00,29212.70
2023/4/30 12:00:00,29198.50
2023/4/30 20:00:00,29227.20
2023/5/2 22:00:00,28357.90
2023/5/4 06:00:00,29096.00
2023/5/4 18:00:00,29234.60
2023/5/5 09:00:00,29314.90
2023/5/5 12:00:00,29213.80
2023/5/5 22:00:00,29244.80
2023/5/8 13:00:00,28243.80
2023/5/10 20:00:00,28160.10
2023/5/10 23:00:00,28141.20
2023/5/14 23:00:00,27071.40
2023/5/15 09:00:00,27191.50
2023/5/16 11:00:00,27118.70
2023/5/16 15:00:00,27240.60
2023/5/17 01:00:00,27074.40
2023/5/17 08:00:00,27087.40
2023/5/18 01:00:00,27077.00
2023/5/21 01:00:00,27130.00
2023/5/21 07:00:00,27089.50
2023/5/21 17:00:00,27068.20
2023/5/23 10:00:00,27119.30
2023/5/28 09:00:00,27080.10
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 05:00:00,27828.50
2023/5/29 08:00:00,28188.60
2023/5/31 19:00:00,27087.90
2023/5/31 21:00:00,27104.00
2023/6/1 04:00:00,27096.90
2023/6/2 00:00:00,27080.90
2023/6/2 13:00:00,27140.30
2023/6/2 16:00:00,27159.90
2023/6/2 23:00:00,27081.30
2023/6/3 02:00:00,27183.20
2023/6/4 10:00:00,27080.70
2023/6/4 14:00:00,27119.10
2023/6/7 00:00:00,26360.90
2023/6/7 03:00:00,27073.20
2023/6/7 03:00:00,27073.20
2023/6/7 06:00:00,27138.70
2023/6/12 04:00:00,26110.80
2023/6/13 10:00:00,26115.40
2023/6/13 13:00:00,26065.80
2023/6/13 16:00:00,26167.80
2023/6/15 05:00:00,25104.80
2023/6/15 07:00:00,25115.90
2023/6/16 01:00:00,25135.00
2023/6/16 06:00:00,25615.50
2023/6/16 23:00:00,25832.40
2023/6/16 23:00:00,25832.40
2023/6/17 01:00:00,26304.60
2023/6/17 13:00:00,26679.40
2023/6/17 13:00:00,26679.40
2023/6/17 13:00:00,26679.40
2023/6/20 04:00:00,26711.50
2023/6/20 08:00:00,26971.40
2023/6/21 00:00:00,27363.30
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 01:00:00,27784.00
2023/6/21 02:00:00,28058.20
2023/6/21 04:00:00,28147.30
2023/6/21 09:00:00,28776.50
2023/6/21 09:00:00,28776.50
2023/6/21 09:00:00,28776.50
2023/6/21 09:00:00,28776.50
2023/6/21 13:00:00,28969.60
2023/6/21 21:00:00,29296.70
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/21 23:00:00,29837.00
2023/6/22 00:00:00,30163.10
2023/6/22 00:00:00,30163.10
2023/6/22 00:00:00,30163.10
2023/6/22 00:00:00,30163.10
2023/6/22 10:00:00,30455.10
2023/6/22 12:00:00,30338.10
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/23 23:00:00,31232.90
2023/6/26 14:00:00,30474.80
2023/6/26 20:00:00,30347.60
2023/6/27 08:00:00,30341.80
2023/6/27 15:00:00,30404.50
2023/6/28 18:00:00,30324.80
2023/6/28 23:00:00,30399.80
2023/6/29 15:00:00,30333.90
2023/6/30 20:00:00,31000.20
2023/6/30 20:00:00,31000.20
2023/6/30 20:00:00,31000.20
2023/6/30 20:00:00,31000.20
2023/7/1 00:00:00,30381.50
2023/7/3 23:00:00,31068.00
2023/7/3 23:00:00,31068.00
2023/7/3 23:00:00,31068.00
2023/7/4 02:00:00,31201.50
2023/7/5 21:00:00,30350.50
2023/7/6 16:00:00,31325.50
2023/7/6 23:00:00,30390.30
2023/7/7 02:00:00,30367.90
2023/7/7 21:00:00,30367.30
2023/7/8 07:00:00,30327.90
2023/7/8 10:00:00,30340.90
2023/7/9 22:00:00,30328.00
2023/7/11 00:00:00,30336.00
2023/7/11 02:00:00,30519.30
2023/7/11 06:00:00,30332.10
2023/7/13 04:00:00,30330.00
2023/7/13 14:00:00,30375.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 01:00:00,31058.30
2023/7/14 02:00:00,31247.70
2023/7/14 03:00:00,31600.60
2023/7/15 17:00:00,30334.50
2023/7/15 20:00:00,30334.10
2023/7/16 22:00:00,30388.60
2023/7/24 18:00:00,29307.60
2023/7/25 21:00:00,29271.90
2023/7/26 00:00:00,29214.00
2023/7/26 04:00:00,29219.90
2023/7/26 07:00:00,29216.30
2023/7/26 10:00:00,29280.10
2023/7/26 13:00:00,29260.80
2023/7/26 20:00:00,29217.30
2023/7/28 07:00:00,29209.70
2023/7/28 17:00:00,29203.20
2023/7/28 20:00:00,29295.00
2023/7/31 04:00:00,29255.50
2023/7/31 07:00:00,29271.10
2023/8/1 05:00:00,29230.60
2023/8/2 02:00:00,29261.50
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/2 08:00:00,29816.80
2023/8/3 09:00:00,29240.90
2023/8/3 22:00:00,29380.10
2023/8/4 08:00:00,29222.10
2023/8/4 12:00:00,29199.40
2023/8/4 15:00:00,29201.60
2023/8/4 20:00:00,29208.70
2023/8/8 07:00:00,29202.70
2023/8/8 12:00:00,29216.80
2023/8/8 18:00:00,29289.10
2023/8/9 01:00:00,29794.60
2023/8/9 01:00:00,29794.60
2023/8/9 01:00:00,29794.60
2023/8/9 01:00:00,29794.60
2023/8/9 02:00:00,29830.40
2023/8/9 02:00:00,29830.40
2023/8/9 02:00:00,29830.40
2023/8/9 03:00:00,29866.40
2023/8/9 03:00:00,29866.40
2023/8/9 03:00:00,29866.40
2023/8/9 03:00:00,29866.40
2023/8/9 03:00:00,29866.40
2023/8/9 03:00:00,29866.40
2023/8/9 04:00:00,29967.00
2023/8/9 04:00:00,29967.00
2023/8/9 04:00:00,29967.00
2023/8/9 20:00:00,30064.60
2023/8/16 05:00:00,29214.80
2023/8/16 08:00:00,29214.90
2023/8/19 02:00:00,26110.70
2023/8/19 04:00:00,26072.60
2023/8/19 08:00:00,26087.20
2023/8/19 23:00:00,26201.00
2023/8/20 05:00:00,26071.00
2023/8/20 07:00:00,26088.30
2023/8/20 10:00:00,26081.80
2023/8/20 15:00:00,26073.60
2023/8/20 23:00:00,26095.00
2023/8/21 01:00:00,26111.30
2023/8/21 13:00:00,26093.80
2023/8/21 21:00:00,26117.90
2023/8/22 03:00:00,26086.20
2023/8/22 15:00:00,26091.60
2023/8/23 23:00:00,26134.30
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/24 03:00:00,26615.20
2023/8/25 00:00:00,26103.90
2023/8/25 05:00:00,26079.80
2023/8/25 16:00:00,26085.60
2023/8/26 05:00:00,26068.30
2023/8/26 10:00:00,26063.20
2023/8/26 14:00:00,26066.80
2023/8/27 17:00:00,26066.60
2023/8/27 21:00:00,26066.80
2023/8/28 02:00:00,26092.60
2023/8/28 06:00:00,26076.70
2023/8/28 20:00:00,26126.00
2023/8/29 07:00:00,26106.50
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/8/29 22:00:00,27484.80
2023/9/1 11:00:00,26071.50
2023/9/8 05:00:00,26149.50
2023/9/12 05:00:00,25137.70
2023/9/12 11:00:00,25788.20
2023/9/12 18:00:00,26149.30
2023/9/13 04:00:00,26066.40
2023/9/13 17:00:00,26141.60
2023/9/14 22:00:00,26717.90
2023/9/14 22:00:00,26717.90
2023/9/14 22:00:00,26717.90
2023/9/14 22:00:00,26717.90
2023/9/14 22:00:00,26717.90
2023/9/18 18:00:00,27116.70
2023/9/19 17:00:00,27278.60
2023/9/19 22:00:00,27153.60
2023/9/20 15:00:00,27089.50
2023/9/20 18:00:00,27069.20
2023/9/20 21:00:00,27146.60
2023/9/21 04:00:00,27085.80
2023/9/21 12:00:00,27078.70
2023/9/25 18:00:00,26080.00
2023/9/27 19:00:00,26755.80
2023/9/29 01:00:00,27143.90
2023/9/29 03:00:00,27088.50
2023/9/29 15:00:00,27168.00
2023/9/30 08:00:00,26922.00
